"State","Length"
"OK",4
"TX",1
"TX",0.2
"TX",0.05
"TX",3
"TX",0.91
"TX",27.8
"TX",0.2
"TX",0.3
"TX",0.1
"TX",6.5
"TX",19
"TX",1.28
"TX",1
"TX",1.9
"TX",19.9
"TX",8
"TX",0.5
"TX",1
"TX",2
"TX",0.3
"TX",0.5
"TX",0.8
"TX",0.2
"TX",0.42
"TX",4.3
"TX",1
"TX",0.5
"TX",2.32
"TX",0.3
"TX",0.1
"TX",0.5
"TX",17.13
"TX",0.2
"TX",7.4
"TX",0.5
"TX",0.2
"TX",1.4
"TX",0.54
"TX",1
"TX",13
"TX",4
"TX",4.1
"TX",2.3
"TX",1.3
"TX",2
"TX",7.73
"TX",22
"TX",11.22
"TX",0.3
"TX",5.1
"TX",21.9
"TX",11.2
"TX",1.6
"TX",5
"TX",1
"TX",5.62
"TX",86.3
"TX",1
"TX",4.5
"TX",3.5
"TX",3.33
"TX",0.58
"TX",3
"TX",0.2
"TX",7.2
"TX",0.5
"TX",0.3
"TX",7.4
"TX",1.7
"TX",0.1
"TX",1.5
"TX",20.8
"TX",0.4
"TX",1
"TX",7
"KS",5.4
"KS",0.97
"KS",3.05
"KS",4.2
"KS",14.35
"KS",7.9
"KS",0.8
"KS",43.9
"KS",1
"KS",2.6
"KS",9.22
"KS",22
"KS",2
"KS",4.5
"KS",1
"KS",28.7
"KS",10.1
"KS",1.8
"KS",17
"KS",127
"KS",1
"KS",11.4
"KS",1
"KS",10.1
"KS",3.53
"KS",4
"KS",0.7
"KS",1.29
"KS",1.65
"KS",1
"KS",2.5
"KS",9
"KS",12.4
"KS",4
"KS",2
"KS",7.7
"KS",1.8
"KS",5
"KS",0.5
"KS",3
"KS",0.53
"KS",8.2
"KS",5
"KS",4
"KS",1
"KS",2
"KS",1
"KS",3
"KS",0.7
"KS",2
"KS",19.6
"KS",5
"KS",1
"KS",4
"KS",1
"KS",25
"KS",3
"KS",2
"KS",16
"KS",2
"KS",1
"KS",12
"KS",1
"KS",1
"KS",2
"KS",0.7
"KS",10.9
"KS",0.8
"KS",0.5
"KS",25.1
"KS",6
"KS",6.9
"KS",13.2
"KS",2
"OK",1.3
"OK",5.11
"OK",1
"OK",3.16
"OK",13
"OK",4
"OK",5.7
"OK",12.95
"OK",11
"OK",6.3
"OK",2.5
"OK",3.5
"OK",10
"OK",1
"OK",12
"OK",2.5
"OK",9.8
"OK",2
"OK",1.5
"OK",4.9
"OK",4.7
"OK",5
"OK",4.5
"OK",8.3
"OK",2
"OK",8.8
"OK",12
"OK",1
"OK",1.75
"OK",1
"OK",6
"OK",2.9
"OK",6.4
"OK",1.5
"OK",3.2
"OK",1
"OK",5
"OK",4.3
"OK",4.7
"OK",5.2
"OK",1
"OK",6.9
"OK",1.85
"OK",2
"OK",8
"OK",2.7
"OK",1.95
"OK",5.3
"OK",2
"OK",6.5
"OK",3.6
"OK",1
"OK",5
"OK",7
"OK",12
"OK",2
"OK",63.1
"OK",3
"OK",12
"OK",10.1
"OK",8.8
"OK",6
"OK",1
"OK",37.2
"OK",2
"OK",7
"OK",3
"OK",8.93
"OK",3.41
"OK",5
"OK",9.06
"OK",18.4
"OK",9
"OK",5
"OK",4
"TX",1
"TX",0.2
"TX",0.01
"TX",3
"TX",0.91
"TX",27.8
"TX",0.2
"TX",0.3
"TX",0.1
"TX",6.5
"TX",19
"TX",1.28
"TX",1
"TX",1.9
"TX",19.9
"TX",8
"TX",0.5
"TX",1
"TX",2
"TX",0.3
"TX",0.5
"TX",0.8
"TX",0.2
"TX",0.42
"TX",4.3
"TX",1
"TX",0.5
"TX",2.32
"TX",0.3
"TX",0.1
"TX",0.5
"TX",17.13
"TX",0.2
"TX",7.4
"TX",0.5
"TX",0.2
"TX",1.4
"TX",0.54
"TX",1
"TX",13
"TX",4
"TX",4.1
"TX",2.3
"TX",1.3
"TX",2
"TX",7.73
"TX",22
"TX",11.22
"TX",0.3
"TX",5.1
"TX",21.9
"TX",11.2
"TX",1.6
"TX",5
"TX",1
"TX",5.62
"TX",86.3
"TX",1
"TX",4.5
"TX",3.5
"TX",3.33
"TX",0.58
"TX",3
"TX",0.2
"TX",7.2
"TX",0.5
"TX",0.3
"TX",7.4
"TX",1.7
"TX",0.1
"TX",1.5
"TX",20.8
"TX",0.4
"TX",1
"TX",7
